	L	B	S	T	H	I	N	U
L	4.35577482527	0.424347943953	-0.704536781359	1.01984208914	-0.964685516577	-0.411721087404	1.98900334724	-0.0731829384634
B	0.424347943953	4.49150377483	-0.377636576157	-1.41249333596	-0.667377355455	0.676071987692	-0.179037763078	-0.653256183987
S	-0.704536781359	-0.377636576157	0.66131742576	-1.82807693277	-1.58740581163	-0.913761386367	-0.831344072705	-1.59763210475
T	1.01984208914	-1.41249333596	-1.82807693277	2.02671340751	-2.49630442675	-2.04442368031	0.420441375314	-1.18205194989
H	-0.964685516577	-0.667377355455	-1.58740581163	-2.49630442675	2.63112353143	-0.838206603239	-0.226198569506	-1.73998017371
I	-0.411721087404	0.676071987692	-0.913761386367	-2.04442368031	-0.838206603239	3.37962484607	0.214872776227	-0.749460787633
N	1.98900334724	-0.179037763078	-0.831344072705	0.420441375314	-0.226198569506	0.214872776227	4.65792443695	0.0759058418461
U	-0.0731829384634	-0.653256183987	-1.59763210475	-1.18205194989	-1.73998017371	-0.749460787633	0.0759058418461	2.75499340754
