	L	B	S	T	H	I	N	U
L	4.39084125478	0.396631700424	-0.715270288788	1.02596761666	-0.926321277559	-0.428264680632	1.98136859862	-0.0480361644929
B	0.396631700424	4.49136591968	-0.38575614389	-1.38413627911	-0.689468734242	0.657282977377	-0.208970609614	-0.628450059551
S	-0.715270288788	-0.38575614389	0.652662395545	-1.8154475654	-1.61619709396	-0.944974914511	-0.872051546551	-1.59116584953
T	1.02596761666	-1.38413627911	-1.8154475654	2.03904590221	-2.43957486235	-2.01984597151	0.425570572527	-1.12699269015
H	-0.926321277559	-0.689468734242	-1.61619709396	-2.43957486235	2.63592508964	-0.863378813577	-0.223635880706	-1.69850949907
I	-0.428264680632	0.657282977377	-0.944974914511	-2.01984597151	-0.863378813577	3.36779149803	0.181370191984	-0.768136174941
N	1.98136859862	-0.208970609614	-0.872051546551	0.425570572527	-0.223635880706	0.181370191984	4.67948722374	0.121945553472
U	-0.0480361644929	-0.628450059551	-1.59116584953	-1.12699269015	-1.69850949907	-0.768136174941	0.121945553472	2.7844095981
