	z	a	q	x	s	w	c	d	e	b	g	t	v	f	r	n	h	y
z	0.101838522891	0.0890609868722	0.0136965831438	0.0803047833782	0.0071004880681	0.000247030204528	0.0332824519836	0.00210795090099	0.00056518316265	0.00865315613364	0.0016526106633	0.0798560184208	0.0238505324548	0.0713725685256	0.0193665653702	0.00283487265839	0.000473083519306	0.000141060959224
a	0.0890609868722	0.0194716575748	0.00598904607478	0.0351145276619	0.00310479991591	0.000108017836364	0.0145532748072	0.000921734635331	0.00024713521367	0.00378372841112	0.000722629965608	0.0349182981367	0.0104290198716	0.0312087764434	0.00846833484631	0.00123959258955	0.000206863198258	6.1681119683e-05
q	0.0136965831438	0.00598904607478	0.000460524132937	0.00540022140522	0.0004774834828	1.6611934459e-05	0.0022381308069	0.000141752472241	3.80066302955e-05	0.000581895087812	0.000111132402119	0.00537004350016	0.00160386655029	0.00479956057515	0.00130233513445	0.00019063546861	3.18132449892e-05	9.48586596459e-06
x	0.0803047833782	0.0351145276619	0.00540022140522	0.0158310874174	0.00279954549614	9.73978534804e-05	0.0131224413952	0.000831112508653	0.000222837636275	0.00341172382081	0.00065158320033	0.0314852379957	0.00940367057503	0.0281404251155	0.00763575409717	0.0011177196422	0.000186525042091	5.56168208845e-05
s	0.0071004880681	0.00310479991591	0.0004774834828	0.00279954549614	0.000123766845232	8.61184436846e-06	0.00116027632018	7.34863379576e-05	1.97031348686e-05	0.000301662033845	5.76124926149e-05	0.00278390087496	0.000831465423422	0.00248815505576	0.000675147588688	9.88279234319e-05	1.64924028191e-05	4.91759714009e-06
w	0.000247030204528	0.000108017836364	1.6611934459e-05	9.73978534804e-05	8.61184436846e-06	1.49805594721e-07	4.03667035188e-05	2.55663342034e-06	6.8548378502e-07	1.04950016399e-05	2.00437289627e-06	9.68535678012e-05	2.8927176785e-05	8.65643947888e-05	2.34887863088e-05	3.4382822567e-06	5.73780506702e-07	1.71086130369e-07
c	0.0332824519836	0.0145532748072	0.0022381308069	0.0131224413952	0.00116027632018	4.03667035188e-05	0.00271930890833	0.000344455971345	9.23554316125e-05	0.00141399465226	0.000270049748795	0.0130491096259	0.0038973670212	0.011662846325	0.00316465107565	0.000463240777917	7.73056161288e-05	2.30504845751e-05
d	0.00210795090099	0.000921734635331	0.000141752472241	0.000831112508653	7.34863379576e-05	2.55663342034e-06	0.000344455971345	1.09080946846e-05	5.84935014327e-06	8.95556403923e-05	1.71036560516e-05	0.000826468026048	0.000246840537105	0.000738668756467	0.00020043382289	2.93394493791e-05	4.89616700267e-06	1.45990715324e-06
e	0.00056518316265	0.00024713521367	3.80066302955e-05	0.000222837636275	1.97031348686e-05	6.8548378502e-07	9.23554316125e-05	5.84935014327e-06	7.84163002058e-07	2.40116314124e-05	4.58582712511e-06	0.000221592358993	6.61828106936e-05	0.000198051645195	5.3740256412e-05	7.8664843582e-06	1.31275882666e-06	3.91429867583e-07
b	0.00865315613364	0.00378372841112	0.000581895087812	0.00341172382081	0.000301662033845	1.04950016399e-05	0.00141399465226	8.95556403923e-05	2.40116314124e-05	0.000183813327578	7.02106515867e-05	0.00339265818075	0.00101328247574	0.00303224144251	0.000822782524544	0.000120438685851	2.00988066234e-05	5.99293111226e-06
g	0.0016526106633	0.000722629965608	0.000111132402119	0.00065158320033	5.76124926149e-05	2.00437289627e-06	0.000270049748795	1.71036560516e-05	4.58582712511e-06	7.02106515867e-05	6.7045404993e-06	0.000647941976298	0.000193520306172	0.000579108300394	0.00015713794512	2.30018103726e-05	3.83854187217e-06	1.14455138768e-06
t	0.0798560184208	0.0349182981367	0.00537004350016	0.0314852379957	0.00278390087496	9.68535678012e-05	0.0130491096259	0.000826468026048	0.000221592358993	0.00339265818075	0.000647941976298	0.0156546449638	0.00935112030782	0.027983168771	0.00759308342778	0.00111147352103	0.000185482689456	5.53060189721e-05
v	0.0238505324548	0.0104290198716	0.00160386655029	0.00940367057503	0.000831465423422	2.8927176785e-05	0.0038973670212	0.000246840537105	6.61828106936e-05	0.00101328247574	0.000193520306172	0.00935112030782	0.00139644577078	0.00835771039127	0.00226782008805	0.000331962897852	5.53979648893e-05	1.65182039691e-05
f	0.0713725685256	0.0312087764434	0.00479956057515	0.0281404251155	0.00248815505576	8.65643947888e-05	0.011662846325	0.000738668756467	0.000198051645195	0.00303224144251	0.000579108300394	0.027983168771	0.00835771039127	0.0125051979185	0.00678643736548	0.000993396886205	0.000165778061883	4.9430621599e-05
