	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
a	0.00502777675251	0.0416531699978	0.0170162620129	0.0149321350885	0.00342350558316	0.000274642856917	0.00224835900511	0.000444190547099	0.000180502908048	0.00235651191287	0.000894282939387	0.000156519890895	0.00124424646287	0.00547204627438	0.0194857412569	0.000319336500821	3.99683202648e-05	1.49333186976e-05	0.000220622090371	6.5000284341e-05	3.3257489949e-05	0.00231151553236	0.0189713310032
A	0.0416531699978	0.0862700680773	0.0704865479553	0.0618534584856	0.0141812044432	0.00113765449133	0.00931338884618	0.00183997274347	0.000747698106353	0.00976139118147	0.00370439273003	0.000648353133445	0.00515404839836	0.02266688488	0.0807158842823	0.00132278919789	0.000165560974608	6.18583613552e-05	0.000913883997623	0.000269251005647	0.000137762668346	0.00957500244753	0.0785850400943
=	0.0170162620129	0.0704865479553	0.0143976745162	0.0252685367296	0.005793342751	0.000464757590014	0.00380472998436	0.000751670480327	0.000305451587115	0.00398774907078	0.00151332821238	0.0002648669188	0.00210554533972	0.00925993512986	0.0329742642785	0.000540389304828	6.76354026161e-05	2.52705396627e-05	0.000373342282322	0.00010999512545	5.62791657943e-05	0.00391160505742	0.0321037662345
l	0.0149321350885	0.0618534584856	0.0252685367296	0.0110868416239	0.00508378259025	0.000407834759025	0.00333873221151	0.000659606977479	0.000268040322743	0.00349933538747	0.00132797798268	0.000232426405341	0.00184766122101	0.00812579179643	0.0289356245384	0.000474203211845	5.93515172643e-05	2.21754408646e-05	0.000327615864734	9.6523083099e-05	4.93861757462e-05	0.00343251738168	0.0281717438237
L	0.00342350558316	0.0141812044432	0.005793342751	0.00508378259025	0.000582781965811	9.35046841093e-05	0.000765474481648	0.000151228753069	6.14538735409e-05	0.000802296132827	0.00030446684356	5.32886349905e-05	0.000423615140663	0.00186300843234	0.00663409964968	0.00010872104583	1.36075818708e-05	5.08418556081e-06	7.51128177853e-05	2.21299440391e-05	1.13228180294e-05	0.000786976701645	0.00645896395233
^	0.000274642856917	0.00113765449133	0.000464757590014	0.000407834759025	9.35046841093e-05	3.75059905045e-06	6.14084287085e-05	1.21319786931e-05	4.92999558139e-06	6.43623609368e-05	2.44251518569e-05	4.2749581093e-06	3.39835497968e-05	0.000149455564154	0.000532205377382	8.72189570267e-06	1.09163694054e-06	4.07867086411e-07	6.02575295016e-06	1.77532383303e-06	9.08347019279e-07	6.31333948248e-05	0.000518155519101
i	0.00224835900511	0.00931338884618	0.00380472998436	0.00333873221151	0.000765474481648	6.14084287085e-05	0.000251359520554	9.93182340539e-05	4.03593236868e-05	0.000526901356281	0.000199956083858	3.49968707339e-05	0.00027820574352	0.00122351539487	0.00435689013083	7.1401648544e-05	8.93666696135e-06	3.3389968591e-06	4.93297224626e-05	1.45336578995e-05	7.43616718631e-06	0.000516840446428	0.00424187120865
I	0.000444190547099	0.00183997274347	0.000751670480327	0.000659606977479	0.000151228753069	1.21319786931e-05	9.93182340539e-05	9.81075989669e-06	7.97347311005e-06	0.000104095743243	3.95037456575e-05	6.91405559465e-06	5.49629134581e-05	0.000241720281947	0.000860756403434	1.41062602807e-05	1.76554677335e-06	6.59659261816e-07	9.74568401182e-06	2.87130010781e-06	1.46910487307e-06	0.000102108088673	0.00083803302258
+	0.000180502908048	0.000747698106353	0.000305451587115	0.000268040322743	6.14538735409e-05	4.92999558139e-06	4.03593236868e-05	7.97347311005e-06	1.620064962e-06	4.23007299312e-05	1.60528877e-05	2.80962111732e-06	2.23349321114e-05	9.82263447763e-05	0.000349780144931	5.73227192471e-06	7.17454094795e-07	2.68061569199e-07	3.96029207857e-06	1.1667920957e-06	5.96990871481e-07	4.14930192934e-05	0.000340546188126
n	0.00235651191287	0.00976139118147	0.00398774907078	0.00349933538747	0.000802296132827	6.43623609368e-05	0.000526901356281	0.000104095743243	4.23007299312e-05	0.000276123457189	0.000209574579767	3.66803266784e-05	0.000291588286099	0.00128237020736	0.0045664698	7.48362850463e-05	9.36654782798e-06	3.49961276542e-06	5.17026321765e-05	1.52327710566e-05	7.79386944916e-06	0.000541702044156	0.00444591811777
