	z	a	q	x	s	w	c	d	e	b	g	t	v	f	r	n	h	y
z	18621729.0	3408673.0	286670.0	1624807.0	229710.0	17813.0	1304695.0	175703.0	49761.0	469660.0	87015.0	1977317.0	1086073.0	766932.0	115964.0	125039.0	27594.0	7428.0
a	3408673.0	6792283.0	487239.0	875452.0	83763.0	4926.0	393567.0	41596.0	11328.0	188874.0	41591.0	610724.0	376668.0	1179545.0	70138.0	55194.0	10223.0	3838.0
q	286670.0	487239.0	1084285.0	57928.0	4783.0	275.0	46367.0	2966.0	942.0	42717.0	3255.0	58423.0	27419.0	48422.0	54136.0	4660.0	532.0	68.0
x	1624807.0	875452.0	57928.0	7379159.0	270037.0	9351.0	428609.0	50666.0	12818.0	145270.0	24260.0	516019.0	216974.0	184621.0	44240.0	87584.0	10899.0	3326.0
s	229710.0	83763.0	4783.0	270037.0	458129.0	3802.0	56418.0	6204.0	1688.0	16171.0	2178.0	66949.0	18956.0	17875.0	3409.0	7003.0	2308.0	852.0
w	17813.0	4926.0	275.0	9351.0	3802.0	3179.0	5830.0	547.0	400.0	921.0	61.0	7115.0	852.0	716.0	108.0	214.0	64.0	82.0
c	1304695.0	393567.0	46367.0	428609.0	56418.0	5830.0	2386155.0	57169.0	17557.0	162312.0	15346.0	452904.0	121459.0	98260.0	18259.0	47466.0	7404.0	1763.0
d	175703.0	41596.0	2966.0	50666.0	6204.0	547.0	57169.0	37101.0	2230.0	8655.0	1124.0	60929.0	12384.0	7679.0	1519.0	2548.0	770.0	278.0
e	49761.0	11328.0	942.0	12818.0	1688.0	400.0	17557.0	2230.0	2767.0	2776.0	419.0	20801.0	4783.0	2903.0	271.0	1275.0	386.0	110.0
b	469660.0	188874.0	42717.0	145270.0	16171.0	921.0	162312.0	8655.0	2776.0	390985.0	7535.0	144839.0	49905.0	45189.0	6464.0	7281.0	1121.0	273.0
g	87015.0	41591.0	3255.0	24260.0	2178.0	61.0	15346.0	1124.0	419.0	7535.0	13579.0	48980.0	28098.0	74281.0	28894.0	6313.0	883.0	224.0
t	1977317.0	610724.0	58423.0	516019.0	66949.0	7115.0	452904.0	60929.0	20801.0	144839.0	48980.0	6908069.0	598850.0	658846.0	58594.0	86858.0	21695.0	7226.0
v	1086073.0	376668.0	27419.0	216974.0	18956.0	852.0	121459.0	12384.0	4783.0	49905.0	28098.0	598850.0	1181841.0	656493.0	118607.0	45192.0	9512.0	2486.0
f	766932.0	1179545.0	48422.0	184621.0	17875.0	716.0	98260.0	7679.0	2903.0	45189.0	74281.0	658846.0	656493.0	6489215.0	406488.0	37958.0	5910.0	1557.0
r	115964.0	70138.0	54136.0	44240.0	3409.0	108.0	18259.0	1519.0	271.0	6464.0	28894.0	58594.0	118607.0	406488.0	1855727.0	18466.0	1470.0	1078.0
n	125039.0	55194.0	4660.0	87584.0	7003.0	214.0	47466.0	2548.0	1275.0	7281.0	6313.0	86858.0	45192.0	37958.0	18466.0	71381.0	5271.0	981.0
h	27594.0	10223.0	532.0	10899.0	2308.0	64.0	7404.0	770.0	386.0	1121.0	883.0	21695.0	9512.0	5910.0	1470.0	5271.0	3759.0	263.0
y	7428.0	3838.0	68.0	3326.0	852.0	82.0	1763.0	278.0	110.0	273.0	224.0	7226.0	2486.0	1557.0	1078.0	981.0	263.0	1053.0
