	z	a	q	x	s	w	c	d	e	b	g	t	v	f	r	n	h	y
z	2.38396743234	0.488028461616	0.264127820219	0.259189512523	0.419812774914	0.940210074166	0.495218095765	1.0810923366	1.12360757274	0.700967932142	0.683818617044	0.326959938334	0.596351914688	0.147125160667	0.0814955706605	0.550477656918	0.746354661133	0.700503639794
a	0.488028461616	4.43192837877	0.990449503511	0.305972753175	0.326664937687	0.555525407534	0.339019306968	0.609081005444	0.555665442894	0.638993833877	0.719176741804	0.220118024382	0.46341419155	0.47203902018	0.106511959155	0.53261336111	0.599866595681	0.762579670939
q	0.264127820219	0.990449503511	28.6925567218	0.133557950495	0.128002232136	0.27387477881	0.26135834133	0.262226043631	0.36124616768	0.931215983263	0.431248213191	0.136979629832	0.242360346514	0.131654395864	0.555903178818	0.291148205056	0.236393276485	0.0975811193678
x	0.259189512523	0.305972753175	0.133557950495	6.07439911324	1.22755133019	1.17567148442	0.417880243055	0.820352307641	0.722936276172	0.54455098418	0.503341620993	0.22024429129	0.309772491861	0.0926313153244	0.0782968848078	1.0035247391	0.795577850434	0.839169442058
s	0.419812774914	0.326664937687	0.128002232136	1.22755133019	48.726608461	6.33277660874	0.643453247223	0.939721967802	1.10159834273	0.691525229177	0.48106082704	0.328037958426	0.294577397074	0.0941159398245	0.0663413061117	0.856363761836	1.81145528543	2.18427723051
w	0.940210074166	0.555525407534	0.27387477881	1.17567148442	6.33277660874	279.507010767	1.83801436848	2.83908111361	7.68813334996	1.1133068617	0.390433896654	0.996149025338	0.408737981813	0.108031006761	0.0642629665533	0.719704113157	1.28595868404	5.6353581576
c	0.495218095765	0.339019306968	0.26135834133	0.417880243055	0.643453247223	1.83801436848	11.3863676898	2.16498170219	2.34177120516	1.46571287197	0.73766212279	0.44190576593	0.406683988549	0.116104006804	0.0782640777427	1.29618856439	1.1796697309	0.938725184413
d	1.0810923366	0.609081005444	0.262226043631	0.820352307641	0.939721967802	2.83908111361	2.16498170219	42.9701942128	4.74371737041	1.24902841207	0.845488391319	0.956868411143	0.67331714368	0.151970795527	0.102422359796	1.13666845102	2.30692511666	2.39705653425
e	1.12360757274	0.555665442894	0.36124616768	0.722936276172	1.10159834273	7.68813334996	2.34177120516	4.74371737041	49.8711283464	1.43680181256	1.15486278179	1.37036041274	0.965207657515	0.198513753011	0.068961173889	2.06016155549	3.64295041054	3.98478288995
b	0.700967932142	0.638993833877	0.931215983263	0.54455098418	0.691525229177	1.1133068617	1.46571287197	1.24902841207	1.43680181256	27.9917031503	1.36291205009	0.568426451355	0.639799074479	0.201510446648	0.10337926402	0.756331501161	0.705847594265	0.603547668496
g	0.683818617044	0.719176741804	0.431248213191	0.503341620993	0.48106082704	0.390433896654	0.73766212279	0.845488391319	1.15486278179	1.36291205009	27.9175705734	0.999654170149	1.9231598758	1.67326482906	2.37216097478	3.66834772599	2.76152255894	2.44571261876
t	0.326959938334	0.220118024382	0.136979629832	0.22024429129	0.328037958426	0.996149025338	0.44190576593	0.956868411143	1.37036041274	0.568426451355	0.999654170149	5.89549804841	0.867304674358	0.318449233729	0.109819946691	1.04835249189	1.56336541836	1.76597714074
v	0.596351914688	0.46341419155	0.242360346514	0.309772491861	0.294577397074	0.408737981813	0.406683988549	0.67331714368	0.965207657515	0.639799074479	1.9231598758	0.867304674358	10.9199566503	1.0290269878	0.696110920588	1.79469428861	2.30314207967	1.94522567646
f	0.147125160667	0.47203902018	0.131654395864	0.0926313153244	0.0941159398245	0.108031006761	0.116104006804	0.151970795527	0.198513753011	0.201510446648	1.67326482906	0.318449233729	1.0290269878	7.00023831897	0.80253695722	0.510078670487	0.512871584518	0.426211628343
r	0.0814955706605	0.106511959155	0.555903178818	0.0782968848078	0.0663413061117	0.0642629665533	0.0782640777427	0.102422359796	0.068961173889	0.10337926402	2.37216097478	0.109819946691	0.696110920588	0.80253695722	26.53760633	0.834122188888	0.461915980502	0.987649594551
n	0.550477656918	0.53261336111	0.291148205056	1.0035247391	0.856363761836	0.719704113157	1.29618856439	1.13666845102	2.06016155549	0.756331501161	3.66834772599	1.04835249189	1.79469428861	0.510078670487	0.834122188888	48.0456860287	10.2677430104	6.15330997357
h	0.746354661133	0.599866595681	0.236393276485	0.795577850434	1.81145528543	1.28595868404	1.1796697309	2.30692511666	3.64295041054	0.705847594265	2.76152255894	1.56336541836	2.30314207967	0.512871584518	0.461915980502	10.2677430104	82.5505118579	9.56205292983
y	0.700503639794	0.762579670939	0.0975811193678	0.839169442058	2.18427723051	5.6353581576	0.938725184413	2.39705653425	3.98478288995	0.603547668496	2.44571261876	1.76597714074	1.94522567646	0.426211628343	0.987649594551	6.15330997357	9.56205292983	254.639009827
