	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
a	7.01313006591	0.741669455205	0.410462421521	0.354722886728	0.504375570787	1.04369214699	0.780371535783	1.56499983866	1.73174294792	0.736619989617	1.23312073808	1.82792973612	1.00666185746	0.672583813547	0.139171786363	0.735258926678	1.068467689	0.956584569934	0.789044967753	1.08615138604	0.787451616485	0.764236162393	0.511994480395
A	0.741669455205	2.55439955184	0.497994247964	0.232195500357	0.322535371869	0.526106511643	0.409520096738	0.649288309412	0.83215542548	0.413793403197	0.461459098852	1.08631438461	0.577219466079	0.392565838843	0.103578800033	0.426026688872	0.732187215453	0.843170875536	0.491706629024	0.497222140108	0.6922483835	0.603816513004	0.255978917588
=	0.410462421521	0.497994247964	5.31733681111	0.211548942813	0.295173049216	0.471751185136	0.343281265879	0.487972896386	0.405219699982	0.326997753136	0.240750437435	0.545848214103	0.475860864207	0.405422932678	0.406754782571	0.396042641611	0.414771240987	0.41780099543	0.482817309197	0.505508369258	0.8305255537	0.743186365666	0.182050862742
l	0.354722886728	0.232195500357	0.211548942813	7.31595328838	0.882179392423	1.05377138112	0.44939800866	0.779726162617	0.44213974836	0.460430487914	0.476963125727	1.10807894055	0.377397694101	0.244750675146	0.0702576150818	1.09756588512	0.632788844934	0.253773440675	0.898346250777	0.802799660222	0.471098619026	0.481177698104	0.179658577284
L	0.504375570787	0.322535371869	0.295173049216	0.882179392423	25.1445291257	3.4673069117	0.568995037345	0.685495917831	1.26222230156	0.523961728302	0.551765935914	0.900461490971	0.557391159742	0.392014643223	0.102676732222	1.13506886287	1.11295946103	1.12391832405	1.66421455367	2.73931547682	2.72632058834	0.526705827615	0.35253848029
^	1.04369214699	0.526106511643	0.471751185136	1.05377138112	3.4673069117	141.14487419	0.91387285487	1.4919298626	3.30474588065	1.43610515296	2.52476112504	1.75676232488	0.586158556291	0.228185943018	0.0429082498153	0.75702703027	1.19067813196	2.1242279081	1.04934573165	1.78598871459	2.76979669262	1.07691842495	0.788693947167
i	0.780371535783	0.409520096738	0.343281265879	0.44939800866	0.568995037345	0.91387285487	33.6824975443	5.40072903354	3.37520865945	0.483932119896	0.364873654182	0.455465718669	0.61937314872	0.443785866523	0.117272669098	2.01320213322	1.8828261253	1.36839461225	0.869401376934	1.35073239286	1.48923041988	1.78011670759	0.500561967445
I	1.56499983866	0.649288309412	0.487972896386	0.779726162617	0.685495917831	1.4919298626	5.40072903354	81.4154747858	7.13318081796	0.513704574487	1.02922461031	0.467262707598	0.860789160646	0.388444530643	0.089980000717	2.78196809595	3.37147669441	3.25218284973	0.602555663518	1.16500712368	1.30714096821	1.72805572784	0.708596323612
+	1.73174294792	0.83215542548	0.405219699982	0.44213974836	1.26222230156	3.30474588065	3.37520865945	7.13318081796	102.690892255	0.652674605161	1.29950658499	0.960221172896	1.30850300249	0.495467373463	0.0922744503762	1.47712532054	3.27347632767	5.9126296442	1.07324230358	3.06337210759	3.74003602565	1.18575754385	1.53991179951
n	0.736619989617	0.413793403197	0.326997753136	0.460430487914	0.523961728302	1.43610515296	0.483932119896	0.513704574487	0.652674605161	32.0351975265	6.17648521875	2.64547826641	0.533787784988	0.345682416328	0.0936110584909	0.876634960201	0.400232318503	0.758093764744	2.15099811814	2.32552333111	0.5080993256	1.19179437201	0.451119261608
