	z	a	q	x	s	w	c	d	e	b	g	t	v	f	r	n	h	y
z	0.24189106544	0.0454047916072	0.00390683000466	0.0208041850381	0.00296896077584	0.000235079147131	0.0167516225995	0.00223189560234	0.000649249567179	0.00600689369388	0.00114823365973	0.0252341713334	0.014233602919	0.010047822132	0.00155111970203	0.00165401731323	0.000363463055936	9.97389499057e-05
a	0.0454047916072	0.0945205641629	0.00671660389611	0.0112596027523	0.00105915217769	6.36795761395e-05	0.00525765200165	0.000576491853813	0.000147203261012	0.00251047265002	0.000553645811256	0.0077885595024	0.00507094136256	0.0147798463714	0.000929430057425	0.000733701560904	0.000133929650006	4.97790552594e-05
q	0.00390683000466	0.00671660389611	0.0154671566016	0.000781382879275	6.59822643338e-05	4.99116708098e-06	0.000644403071608	3.94591542417e-05	1.52146204256e-05	0.000581651804321	5.27809890834e-05	0.000770568683932	0.000421633058752	0.000655361938459	0.000771207649766	6.37639678534e-05	8.39094755643e-06	1.01270056716e-06
x	0.0208041850381	0.0112596027523	0.000781382879275	0.0964251645867	0.00343377828021	0.000116267669877	0.00559108366339	0.000669877313255	0.000165226919915	0.00184575528727	0.000334299690794	0.00672330700939	0.00292441400684	0.00250222637397	0.000589439953921	0.00119264781317	0.000153243296537	4.72593598006e-05
s	0.00296896077584	0.00105915217769	6.59822643338e-05	0.00343377828021	0.00600460306164	5.51801249509e-05	0.000758536836718	6.76098188168e-05	2.21829648044e-05	0.000206518579945	2.81506645751e-05	0.000882303313175	0.000245025313415	0.000223999720688	4.40042508347e-05	8.96722240298e-05	3.07426957887e-05	1.08383072604e-05
w	0.000235079147131	6.36795761395e-05	4.99116708098e-06	0.000116267669877	5.51801249509e-05	4.30518300633e-05	7.66035643299e-05	7.22151952055e-06	5.47340544629e-06	1.17545601545e-05	8.07749261898e-07	9.47236709065e-05	1.20197912554e-05	9.09019318614e-06	1.5069948916e-06	2.66436696835e-06	7.715813845e-07	9.8858864889e-07
c	0.0167516225995	0.00525765200165	0.000644403071608	0.00559108366339	0.000758536836718	7.66035643299e-05	0.0321015832223	0.000745034162489	0.000225554939416	0.00209368608684	0.000206470356108	0.00568505986483	0.0016180061633	0.00132173096761	0.000248304534299	0.000649201343342	9.57604833919e-05	2.22794124774e-05
d	0.00223189560234	0.000576491853813	3.94591542417e-05	0.000669877313255	6.76098188168e-05	7.22151952055e-06	0.000745034162489	0.000451242494382	2.78854334742e-05	0.000108889422888	1.44430390411e-05	0.000751291205279	0.0001634908618	0.000105586090085	1.98320527735e-05	3.47452742207e-05	1.14290492579e-05	3.47211623025e-06
e	0.000649249567179	0.000147203261012	1.52146204256e-05	0.000165226919915	2.21829648044e-05	5.47340544629e-06	0.000225554939416	2.78854334742e-05	4.10264289289e-05	3.50587291582e-05	5.52162928283e-06	0.000301145803178	6.55964736416e-05	3.86031811432e-05	3.73734733117e-06	1.76258122522e-05	5.05144687665e-06	1.6154985238e-06
b	0.00600689369388	0.00251047265002	0.000581651804321	0.00184575528727	0.000206518579945	1.17545601545e-05	0.00209368608684	0.000108889422888	3.50587291582e-05	0.00506469637573	9.66405684086e-05	0.00185255484822	0.000644849142096	0.000581145454038	8.30896703433e-05	9.59654346971e-05	1.45153747959e-05	3.62884369897e-06
g	0.00114823365973	0.000553645811256	5.27809890834e-05	0.000334299690794	2.81506645751e-05	8.07749261898e-07	0.000206470356108	1.44430390411e-05	5.52162928283e-06	9.66405684086e-05	0.000193944214569	0.000638387148	0.00037981093652	0.000945560930745	0.000373590061607	9.12033308397e-05	1.11276502796e-05	2.88137423274e-06
t	0.0252341713334	0.0077885595024	0.000770568683932	0.00672330700939	0.000882303313175	9.47236709065e-05	0.00568505986483	0.000751291205279	0.000301145803178	0.00185255484822	0.000638387148	0.0865226890981	0.00787279448886	0.00827123188224	0.000794945833299	0.00119798860307	0.000289547970493	9.56278678414e-05
v	0.014233602919	0.00507094136256	0.000421633058752	0.00292441400684	0.000245025313415	1.20197912554e-05	0.0016180061633	0.0001634908618	6.55964736416e-05	0.000644849142096	0.00037981093652	0.00787279448886	0.0153273074756	0.00826560174933	0.00155830505367	0.000634239898059	0.000131916304831	3.25752015768e-05
f	0.010047822132	0.0147798463714	0.000655361938459	0.00250222637397	0.000223999720688	9.09019318614e-06	0.00132173096761	0.000105586090085	3.86031811432e-05	0.000581145454038	0.000945560930745	0.00827123188224	0.00826560174933	0.0804457864495	0.00514057658251	0.000515790099579	8.40541470739e-05	2.0422794771e-05
