	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
a	2685761.0	2341483.0	552601.0	404138.0	131224.0	24214.0	135654.0	53123.0	23095.0	136637.0	82346.0	21538.0	97292.0	276063.0	199487.0	18982.0	3318.0	1115.0	13976.0	5722.0	1971.0	134477.0	714326.0
A	2341483.0	16620137.0	2763489.0	1090409.0	345885.0	50311.0	293428.0	90845.0	45744.0	316376.0	127018.0	52759.0	229948.0	664155.0	611969.0	45335.0	9372.0	4051.0	35899.0	10797.0	7142.0	437946.0	1472077.0
=	552601.0	2763489.0	6291515.0	423647.0	134986.0	19238.0	104890.0	29115.0	9499.0	106616.0	28259.0	11305.0	80840.0	292498.0	1024823.0	17972.0	2264.0	856.0	15032.0	4681.0	3654.0	229864.0	446454.0
l	404138.0	1090409.0	423647.0	6199211.0	341406.0	36366.0	116203.0	39370.0	8771.0	127041.0	47378.0	19421.0	54256.0	149431.0	149800.0	42149.0	2923.0	440.0	23669.0	6291.0	1754.0	125945.0	372850.0
L	131224.0	345885.0	134986.0	341406.0	1111083.0	27325.0	33598.0	7904.0	5718.0	33014.0	12516.0	3604.0	18299.0	54656.0	49993.0	9954.0	1174.0	445.0	10013.0	4902.0	2318.0	31482.0	167075.0
^	24214.0	50311.0	19238.0	36366.0	27325.0	49595.0	4812.0	1534.0	1335.0	8069.0	5107.0	627.0	1716.0	2837.0	1863.0	592.0	112.0	75.0	563.0	285.0	210.0	5740.0	33331.0
i	135654.0	293428.0	104890.0	116203.0	33598.0	4812.0	664433.0	41607.0	10216.0	20373.0	5530.0	1218.0	13586.0	41341.0	38151.0	11796.0	1327.0	362.0	3495.0	1615.0	846.0	71091.0	158502.0
I	53123.0	90845.0	29115.0	39370.0	7904.0	1534.0	41607.0	61239.0	4216.0	4223.0	3046.0	244.0	3687.0	7066.0	5716.0	3183.0	464.0	168.0	473.0	272.0	145.0	13476.0	43814.0
+	23095.0	45744.0	9499.0	8771.0	5718.0	1335.0	10216.0	4216.0	11923.0	2108.0	1511.0	197.0	2202.0	3541.0	2303.0	664.0	177.0	120.0	331.0	281.0	163.0	3633.0	37409.0
n	136637.0	316376.0	106616.0	127041.0	33014.0	8069.0	20373.0	4223.0	2108.0	719551.0	99889.0	7549.0	12494.0	34362.0	32496.0	5481.0	301.0	214.0	9227.0	2967.0	308.0	50788.0	152427.0
N	82346.0	127018.0	28259.0	47378.0	12516.0	5107.0	5530.0	3046.0	1511.0	99889.0	211631.0	4660.0	3498.0	8382.0	6683.0	1670.0	104.0	30.0	1115.0	462.0	116.0	23454.0	50727.0
>	21538.0	52759.0	11305.0	19421.0	3604.0	627.0	1218.0	244.0	197.0	7549.0	4660.0	8167.0	1201.0	2433.0	1971.0	201.0	44.0	5.0	365.0	107.0	37.0	3412.0	16055.0
s	97292.0	229948.0	80840.0	54256.0	18299.0	1716.0	13586.0	3687.0	2202.0	12494.0	3498.0	1201.0	112279.0	106987.0	228663.0	7633.0	1287.0	448.0	4792.0	2318.0	858.0	17407.0	241801.0
S	276063.0	664155.0	292498.0	149431.0	54656.0	2837.0	41341.0	7066.0	3541.0	34362.0	8382.0	2433.0	106987.0	1181421.0	1146738.0	19223.0	2370.0	983.0	11443.0	3452.0	1723.0	70670.0	494578.0
~	199487.0	611969.0	1024823.0	149800.0	49993.0	1863.0	38151.0	5716.0	2303.0	32496.0	6683.0	1971.0	228663.0	1146738.0	7899791.0	26001.0	2721.0	1401.0	22422.0	4083.0	1710.0	141326.0	607512.0
b	18982.0	45335.0	17972.0	42149.0	9954.0	592.0	11796.0	3183.0	664.0	5481.0	1670.0	201.0	7633.0	19223.0	26001.0	44719.0	1972.0	394.0	1318.0	394.0	143.0	8584.0	49076.0
B	3318.0	9372.0	2264.0	2923.0	1174.0	112.0	1327.0	464.0	177.0	301.0	104.0	44.0	1287.0	2370.0	2721.0	1972.0	1833.0	88.0	168.0	78.0	37.0	899.0	8696.0
|	1115.0	4051.0	856.0	440.0	445.0	75.0	362.0	168.0	120.0	214.0	30.0	5.0	448.0	983.0	1401.0	394.0	88.0	39.0	64.0	65.0	22.0	296.0	4631.0
y	13976.0	35899.0	15032.0	23669.0	10013.0	563.0	3495.0	473.0	331.0	9227.0	1115.0	365.0	4792.0	11443.0	22422.0	1318.0	168.0	64.0	25459.0	3668.0	553.0	4553.0	34413.0
Y	5722.0	10797.0	4681.0	6291.0	4902.0	285.0	1615.0	272.0	281.0	2967.0	462.0	107.0	2318.0	3452.0	4083.0	394.0	78.0	65.0	3668.0	2503.0	196.0	1129.0	15130.0
@	1971.0	7142.0	3654.0	1754.0	2318.0	210.0	846.0	145.0	163.0	308.0	116.0	37.0	858.0	1723.0	1710.0	143.0	37.0	22.0	553.0	196.0	1073.0	442.0	8618.0
[	134477.0	437946.0	229864.0	125945.0	31482.0	5740.0	71091.0	13476.0	3633.0	50788.0	23454.0	3412.0	17407.0	70670.0	141326.0	8584.0	899.0	296.0	4553.0	1129.0	442.0	448637.0	194499.0
:	714326.0	1472077.0	446454.0	372850.0	167075.0	33331.0	158502.0	43814.0	37409.0	152427.0	50727.0	16055.0	241801.0	494578.0	607512.0	49076.0	8696.0	4631.0	34413.0	15130.0	8618.0	194499.0	7123747.0
