	a	A	=	l	L	^	i	I	+	n	N	>	s	S	~	b	B	|	y	Y	@	[	:
a	0.0351030098828	0.0315877982563	0.0071665189001	0.00538610910527	0.001736943721	0.000306675712103	0.00178677834573	0.000732469028637	0.000313144217834	0.00173271705942	0.00110103106268	0.00027971646526	0.00129889879759	0.00369897145047	0.0025838467561	0.000243718445508	4.66931870642e-05	1.41935865265e-05	0.000176734427001	7.55801342907e-05	2.55170413712e-05	0.0017627891854	0.00955077013058
A	0.0315877982563	0.220140799236	0.0363090220805	0.0146846503501	0.00467335973759	0.000675037836475	0.00387039399197	0.00122130528734	0.000628473162769	0.00419553278997	0.00171355428968	0.000724572596697	0.00296695935822	0.00861130891856	0.0080242741744	0.000565787202154	0.000125000660416	5.02915611132e-05	0.000465803808936	0.000138351770479	9.51570026287e-05	0.00581630043453	0.0200108008339
=	0.0071665189001	0.0363090220805	0.0782557681436	0.00569899629639	0.00183100122045	0.000255912935341	0.00133552510487	0.000370404058852	0.000128384845533	0.00135493062206	0.0003771295913	0.000144877393258	0.00104234329545	0.00381054960451	0.0140105835035	0.000226711844348	2.53742487502e-05	1.01239968283e-05	0.000187329639479	6.21861864418e-05	5.02915611132e-05	0.00294815357004	0.00612273339918
l	0.00538610910527	0.0146846503501	0.00569899629639	0.0814768269709	0.0046111164341	0.000479169198261	0.00151580078887	0.00052283518176	0.000121944898327	0.00165065414014	0.000604655353588	0.000269506792859	0.000690916375929	0.00190206910792	0.00184679408433	0.000524234549446	3.85111698814e-05	5.06913804519e-06	0.000305319182204	8.27626031266e-05	2.22756488747e-05	0.00167417208481	0.00499692781676
L	0.001736943721	0.00467335973759	0.00183100122045	0.0046111164341	0.0146746977045	0.000267521975427	0.00046113449023	0.000111620991829	8.0806344219e-05	0.000424936560808	0.000170494389464	4.85494911371e-05	0.000234251294736	0.000702668208637	0.000658602405799	0.000130055519199	1.49932252041e-05	5.48323664607e-06	0.000133368308006	6.08724943286e-05	3.22711323441e-05	0.000419324810803	0.00212298357185
^	0.000306675712103	0.000675037836475	0.000255912935341	0.000479169198261	0.000267521975427	0.000526690582527	6.34284822444e-05	2.04050655397e-05	1.7577771644e-05	9.05448009706e-05	5.72027239692e-05	8.2534134933e-06	2.04621825881e-05	3.44701387073e-05	2.16473613423e-05	6.88260433179e-06	1.52788104461e-06	9.56710560642e-07	7.16818957377e-06	3.2699510207e-06	2.79873537143e-06	7.57086476496e-05	0.000403289199466
i	0.00178677834573	0.00387039399197	0.00133552510487	0.00151580078887	0.00046113449023	6.34284822444e-05	0.00850148711375	0.00057331237328	0.000143178161068	0.000264823194891	7.2595768512e-05	1.59499357647e-05	0.000176977174457	0.000542540563457	0.000486808603484	0.000145834103819	1.69637633738e-05	5.040579521e-06	4.56079631447e-05	2.11047493825e-05	1.18232290181e-05	0.000937119413042	0.00221292864381
I	0.000732469028637	0.00122130528734	0.000370404058852	0.00052283518176	0.000111620991829	2.04050655397e-05	0.00057331237328	0.000754416254484	6.38854186316e-05	5.50037176059e-05	4.25807595796e-05	3.05576208922e-06	4.85637703992e-05	8.49901680141e-05	7.09964911569e-05	4.18953549989e-05	6.25431679942e-06	2.29896119796e-06	6.05440713004e-06	3.46986069009e-06	2.02765521808e-06	0.000183931175099	0.000588234202174
+	0.000313144217834	0.000628473162769	0.000128384845533	0.000121944898327	8.0806344219e-05	1.7577771644e-05	0.000143178161068	6.38854186316e-05	0.000178533614026	2.79302366659e-05	1.98196157936e-05	2.25612341166e-06	2.77446062586e-05	4.36802627613e-05	2.91868117306e-05	7.96782825132e-06	2.64166348834e-06	1.5992773551e-06	3.92679707726e-06	2.88441094403e-06	2.05621374228e-06	5.00630929196e-05	0.000469416462247
n	0.00173271705942	0.00419553278997	0.00135493062206	0.00165065414014	0.000424936560808	9.05448009706e-05	0.000264823194891	5.50037176059e-05	2.79302366659e-05	0.00902282297299	0.00133528235741	0.000102339471465	0.000157685891361	0.00045025369251	0.000417168642226	6.84690617654e-05	4.11242748455e-06	2.94152799242e-06	0.000119603099342	3.92965292968e-05	3.98391412566e-06	0.000659130738496	0.00203093944836
